user_id,PURPLE,BLUE,GREEN,RED,ORANGE,RISK,HOPE,SAFETY,VITALITY,POWER,LITERATURE,PHYSICS,MUSIC,HISTORY,GEOGRAPHY,SEA,DESERT,CITY,MOUNTAIN,VILLAGE
1,4,4,2,4,3,2,4,4,3,3,4,2,4,3,3,4,3,2,4,3
2,3,4,2,3,2,1,4,4,4,3,2,1,3,1,4,4,1,3,2,2
3,4,4,4,2,2,3,3,3,4,3,3,1,2,3,3,4,2,3,3,3
4,2,3,4,3,1,2,3,4,4,2,4,4,3,1,1,3,1,3,3,2
5,3,3,3,3,3,3,3,3,3,3,2,4,4,1,4,3,2,3,4,2
6,2,3,3,3,2,2,4,4,3,3,3,4,3,3,3,3,2,3,3,4
7,2,3,4,3,3,4,4,2,3,4,4,3,4,2,3,4,4,4,3,3
8,4,3,3,2,2,3,4,4,4,4,3,3,4,3,2,4,1,3,3,3
9,4,3,2,2,2,4,4,4,4,4,4,2,4,2,3,3,3,4,4,3
10,3,4,3,3,2,2,4,4,4,4,3,4,4,3,4,4,3,4,3,3
11,3,4,3,2,3,2,4,4,4,3,3,3,4,4,2,4,3,3,3,2
12,1,3,3,2,3,1,4,4,2,4,2,4,4,2,1,4,2,3,3,3
13,3,4,2,2,3,3,4,3,4,3,3,2,3,2,3,4,2,3,4,2
14,2,4,3,2,2,1,4,4,3,4,1,3,3,1,1,3,1,3,2,3
15,4,4,4,4,4,1,4,4,4,4,4,1,4,3,3,4,1,4,3,4
16,3,4,2,3,3,4,4,4,4,4,3,2,3,3,4,4,4,2,4,3
17,4,4,4,3,3,2,4,4,4,3,4,2,3,4,3,4,3,3,4,3
18,3,3,3,3,3,3,4,3,3,3,4,4,4,3,2,3,2,2,2,3
19,4,4,4,4,4,1,4,4,3,2,3,2,3,3,4,2,2,4,3,2
20,3,4,2,2,3,2,4,3,2,3,2,2,4,2,3,4,3,3,3,3
21,3,4,4,3,2,1,3,4,1,4,4,2,3,4,2,3,3,4,3,2
22,2,4,3,2,2,2,4,3,4,3,3,3,3,4,2,3,2,3,4,4
23,4,4,3,3,3,1,3,4,3,3,3,2,4,4,1,3,2,3,2,3
24,3,4,3,3,3,2,4,4,4,3,3,2,4,2,3,4,3,3,3,3
25,4,3,4,4,3,2,4,4,4,3,4,2,4,3,3,4,3,3,2,4
26,4,4,3,1,1,2,3,3,4,2,3,1,4,1,2,4,2,2,3,3
27,2,4,3,3,2,3,4,3,4,3,4,1,3,3,1,3,1,3,3,2
28,4,3,4,2,1,4,4,3,4,4,4,4,4,3,4,4,3,3,4,3
29,3,4,4,3,2,2,4,3,3,3,4,4,4,2,3,4,1,3,2,2
30,4,4,2,3,2,1,4,4,3,4,4,2,4,1,1,4,1,3,2,2
31,3,4,3,3,3,2,4,4,3,3,3,2,3,3,2,3,2,3,3,3
32,2,4,3,3,4,1,4,4,2,3,2,3,3,4,4,4,2,3,4,3
33,2,3,2,3,2,3,4,4,4,3,4,4,4,3,3,4,3,4,4,4
34,1,1,1,2,3,1,4,3,3,2,2,3,3,1,4,4,2,3,4,2
35,2,3,3,2,2,2,2,3,3,2,2,1,3,1,1,4,3,3,2,3
36,3,4,3,2,2,2,4,3,3,3,3,4,4,3,4,4,2,4,3,3
37,2,4,4,3,2,2,4,4,4,4,3,2,3,1,1,2,1,2,2,3
38,2,4,3,2,2,2,4,4,4,3,2,1,4,3,1,4,2,4,3,2
39,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
40,3,3,1,2,3,3,4,4,2,4,3,1,4,2,4,4,2,4,3,2
41,3,4,3,3,3,3,4,4,4,4,3,3,4,3,4,4,2,3,3,3
42,3,4,3,2,2,1,3,4,3,3,2,3,4,3,3,3,1,2,2,2
43,2,4,3,1,1,2,4,4,4,3,3,3,3,3,3,4,1,3,1,2
44,3,4,4,2,2,1,3,4,3,3,3,1,4,3,3,3,2,2,3,2
45,4,4,3,4,4,2,4,3,3,1,4,2,4,4,3,4,3,2,4,4
46,3,4,1,1,1,2,3,4,3,4,4,3,4,2,3,4,3,3,3,2
47,2,3,4,2,3,1,4,4,4,3,4,3,4,3,2,4,2,2,3,2
48,2,4,3,1,3,1,4,4,2,4,3,1,4,1,1,2,1,3,3,3
49,3,4,4,4,4,1,4,4,4,4,3,4,4,4,3,4,1,3,4,2
50,2,4,1,3,2,3,4,4,3,3,3,3,4,3,3,4,3,4,4,3
51,2,3,2,3,4,2,3,3,2,4,2,2,4,2,2,3,2,4,4,4
52,3,4,3,2,2,1,4,4,3,4,3,2,4,4,2,4,3,3,2,2
53,3,4,3,2,2,2,3,4,3,3,2,4,4,3,2,2,1,3,3,3
